Total Objects,Memory Usage (MB)
208,89.46949768066406
209,91.46949768066406
210,67.23988342285156
211,69.23988342285156
212,71.23988342285156
213,73.74183654785156
214,75.74183654785156
215,77.75552368164062
216,80.23988342285156
217,82.23988342285156
218,84.74183654785156
219,86.74183654785156
220,88.74208068847656
221,91.23988342285156
222,70.49220275878906
223,72.49220275878906
224,74.99415588378906
225,76.99415588378906
226,78.99415588378906
227,81.49220275878906
228,83.49220275878906
229,85.49220275878906
230,87.99415588378906
231,89.99415588378906
232,92.00003051757812
233,94.49220275878906
234,96.49220275878906
235,98.99415588378906
236,100.99415588378906
237,72.37451171875
238,74.87255859375
239,76.87255859375
240,78.87255859375
241,81.37451171875
242,83.38819885253906
243,85.37451171875
244,87.87255859375
245,89.87255859375
246,91.87255859375
247,94.37451171875
248,96.37451171875
249,98.37451171875
250,100.87255859375
251,75.30322265625
252,77.30322265625
253,79.80517578125
254,81.80517578125
255,83.80517578125
256,86.30322265625
257,88.30322265625
258,91.11519622802734
259,93.30322265625
260,95.30322265625
261,97.30322265625
262,99.80517578125
263,77.13533782958984
264,79.133056640625
265,81.630859375
266,83.630859375
267,85.630859375
268,88.1328125
269,90.14649963378906
270,92.1328125
271,94.630859375
272,96.630859375
273,98.630859375
274,101.1328125
275,103.1328125
276,105.14649963378906
277,107.630859375
278,109.630859375
279,111.630859375
280,114.1328125
281,81.50447845458984
282,84.0
283,86.0
284,88.0
285,90.501953125
286,92.501953125
287,94.501953125
288,97.0
289,99.0
290,101.0
291,103.501953125
292,105.51564025878906
293,107.501953125
294,110.0
295,112.0
296,114.0
297,116.501953125
298,86.501953125
299,88.501953125
300,91.0
301,93.001953125
302,95.001953125
303,97.501953125
304,99.501953125
305,101.501953125
306,104.0
307,106.0
308,108.0
309,110.501953125
310,112.501953125
311,114.501953125
312,88.9931640625
313,90.9931640625
314,92.9931640625
315,95.49513244628906
316,97.4951171875
317,99.50880432128906
318,101.9931640625
319,103.9931640625
320,105.9931640625
321,108.4951171875
322,110.4951171875
323,112.50099182128906
324,114.9931640625
325,116.9931640625
326,118.9931640625
327,121.4951171875
328,123.4951171875
329,125.4951171875
330,127.9931640625
331,129.9931640625
332,93.0
333,95.501953125
334,97.501953125
335,99.501953125
336,102.0
337,104.0
338,106.001953125
339,108.501953125
340,110.501953125
341,113.0
342,115.0
343,117.0
344,119.501953125
345,121.501953125
346,123.501953125
347,126.0
348,128.0
349,130.0
350,97.08358001708984
351,99.0810546875
352,101.0810546875
353,103.5791015625
354,105.5791015625
355,107.5791015625
356,110.0810546875
357,112.0810546875
358,114.0810546875
359,116.5791015625
360,118.5791015625
361,120.5791015625
362,123.0810546875
363,125.0810546875
364,127.0810546875
365,129.5791015625
366,100.92998504638672
367,102.92745971679688
368,104.92745971679688
369,107.42550659179688
370,109.42550659179688
371,111.42550659179688
372,113.92745971679688
373,115.92745971679688
374,117.92745971679688
375,120.42550659179688
376,122.42550659179688
377,124.42550659179688
378,126.92745971679688
379,128.92745971679688
380,130.92745971679688
381,133.42550659179688
382,135.42550659179688
383,137.42550659179688
384,139.92745971679688
385,141.92745971679688
386,143.92745971679688
387,146.42550659179688
388,148.42550659179688
389,105.798828125
390,108.298828125
391,110.298828125
392,112.298828125
393,114.796875
394,116.796875
395,118.796875
396,121.298828125
397,123.298828125
398,125.298828125
399,127.796875
400,129.796875
401,131.796875
402,134.298828125
403,136.298828125
404,138.298828125
405,140.796875
406,142.796875
407,144.796875
408,147.298828125
409,149.298828125
410,110.50447845458984
411,113.0
412,115.0
413,117.0
414,119.0
415,121.501953125
416,123.501953125
417,125.51564025878906
418,128.0
419,130.0
420,132.0
421,134.501953125
422,136.501953125
423,138.501953125
424,141.0
425,143.0
426,145.0
427,147.501953125
428,149.501953125
429,115.73291015625
430,118.23095703125
431,120.23095703125
432,122.23095703125
433,124.73291015625
434,126.73291015625
435,128.73291015625
436,131.23095703125
437,133.23095703125
438,135.23095703125
439,137.73291015625
440,139.74659729003906
441,141.73291015625
442,144.23095703125
443,146.23095703125
444,148.23095703125
445,150.73291015625
446,152.73291015625
447,154.73291015625
448,157.23095703125
449,159.23095703125
450,161.23095703125
451,163.23095703125
452,165.73291015625
453,167.73291015625
454,120.958984375
455,123.45703125
456,125.45703125
457,127.45703125
458,129.958984375
459,131.958984375
460,133.958984375
461,136.45703125
462,138.45703125
463,140.45703125
464,142.958984375
465,144.958984375
466,146.958984375
467,149.45703125
468,151.45703125
469,153.45703125
470,155.958984375
471,157.958984375
472,159.958984375
473,161.958984375
474,164.45703125
475,166.45703125
476,168.45703125
477,125.50700378417969
478,127.501953125
479,129.501953125
480,132.0
481,134.0
482,136.0
483,138.501953125
484,140.501953125
485,142.501953125
486,145.0
487,147.0
488,149.0
489,151.501953125
490,153.501953125
491,155.501953125
492,158.0
493,160.0
494,162.0
495,164.501953125
496,166.501953125
497,168.501953125
498,131.822265625
499,133.822265625
500,135.822265625
501,137.822265625
502,140.32421875
503,142.32421875
504,144.32421875
505,146.822265625
506,148.822265625
507,150.822265625
508,153.32421875
509,155.32421875
510,157.32421875
511,159.822265625
512,161.822265625
513,163.822265625
514,166.32421875
515,168.32421875
516,170.32421875
517,172.32421875
518,174.822265625
519,176.822265625
520,178.822265625
521,181.32421875
522,183.32421875
523,185.32421875
524,187.822265625
525,189.822265625
526,191.822265625
527,138.1103515625
528,140.1103515625
529,142.1103515625
530,144.6083984375
531,146.6083984375
532,148.6083984375
533,151.1103515625
534,153.1103515625
535,155.1103515625
536,157.11622619628906
537,159.6083984375
538,161.6083984375
539,163.6083984375
540,166.1103515625
541,168.1103515625
542,170.1103515625
543,172.6083984375
544,174.6083984375
545,176.6083984375
546,179.1103515625
547,181.1103515625
548,183.1103515625
549,185.6083984375
550,187.6083984375
551,189.6083984375
552,191.6083984375
553,142.7491912841797
554,144.744140625
555,146.744140625
556,149.2421875
557,151.2421875
558,153.2421875
559,155.744140625
560,157.75001525878906
561,159.744140625
562,162.2421875
563,164.2421875
564,166.2421875
565,168.2421875
566,170.744140625
567,172.744140625
568,174.744140625
569,177.2421875
570,179.2421875
571,181.2421875
572,183.744140625
573,185.744140625
574,187.744140625
575,190.2421875
576,192.2421875
577,149.96630859375
578,152.46826171875
579,154.46826171875
580,156.46826171875
581,158.48194885253906
582,160.96630859375
583,162.96630859375
584,164.96630859375
585,167.46826171875
586,169.46826171875
587,171.46826171875
588,173.96630859375
589,175.96630859375
590,177.96630859375
591,179.96630859375
592,182.46826171875
593,184.46826171875
594,186.46826171875
595,188.96630859375
596,190.96630859375
597,192.96630859375
598,195.46826171875
599,197.47413635253906
600,199.46826171875
601,201.96630859375
602,203.96630859375
603,205.96630859375
604,207.96630859375
605,210.46826171875
606,212.46826171875
607,214.46826171875
608,216.96630859375
609,218.96630859375
610,155.91748046875
611,158.41748046875
612,160.42335510253906
613,162.41748046875
614,164.91552734375
615,166.91552734375
616,168.91552734375
617,170.91552734375
618,173.41748046875
619,175.41748046875
620,177.41748046875
621,179.91552734375
622,181.91552734375
623,183.91552734375
624,186.41748046875
625,188.42335510253906
626,190.41748046875
627,192.91552734375
628,194.91552734375
629,196.91552734375
630,198.91552734375
631,201.41748046875
632,203.41748046875
633,205.41748046875
634,207.91552734375
635,209.91552734375
636,211.91552734375
637,214.41748046875
638,216.43116760253906
639,218.417724609375
640,163.7685546875
641,166.2685546875
642,168.2685546875
643,170.2685546875
644,172.7666015625
645,174.7666015625
646,176.7666015625
647,179.2685546875
648,181.2685546875
649,183.2685546875
650,185.2685546875
651,187.7666015625
652,189.7666015625
653,191.7666015625
654,194.2685546875
655,196.28224182128906
656,198.268798828125
657,200.7666015625
658,202.7666015625
659,204.7666015625
660,206.7666015625
661,209.2685546875
662,211.2685546875
663,213.2685546875
664,215.7666015625
665,217.7666015625
666,219.7666015625
667,170.42138671875
668,172.42138671875
669,174.42138671875
670,176.42138671875
671,178.91943359375
672,180.91943359375
673,182.91943359375
674,185.42138671875
675,187.42138671875
676,189.42138671875
677,191.91943359375
678,193.91943359375
679,195.91943359375
680,198.42138671875
681,200.42138671875
682,202.42138671875
683,204.43507385253906
684,206.91943359375
685,208.91943359375
686,210.91943359375
687,213.42138671875
688,215.43507385253906
689,217.421630859375
690,219.91943359375
691,221.91943359375
692,223.91943359375
693,225.91943359375
694,228.42138671875
695,230.42138671875
696,232.42138671875
697,234.91943359375
698,236.91943359375
699,238.91943359375
700,241.42138671875
701,243.42138671875
702,245.42138671875
703,247.42138671875
704,176.8662109375
705,178.8642578125
706,180.8642578125
707,183.3662109375
708,185.3662109375
709,187.3662109375
710,189.8642578125
711,191.8642578125
712,193.8642578125
713,196.3662109375
714,198.3662109375
715,200.3662109375
716,202.37989807128906
717,204.8642578125
718,206.8642578125
719,208.8642578125
720,211.3662109375
721,213.37989807128906
722,215.366455078125
723,217.8642578125
724,219.8642578125
725,221.8642578125
726,223.8642578125
727,226.3662109375
728,228.3662109375
729,230.3662109375
730,232.8642578125
731,234.8642578125
732,236.8642578125
733,239.3662109375
734,241.3662109375
735,243.3662109375
736,245.3662109375
737,247.8642578125
738,249.8642578125
739,184.42919921875
740,186.92919921875
741,188.92919921875
