Total Objects, Sample Time,Memory Usage (MB)
1,14:55:37.437774400,49.158164978027344
2,14:55:38.480008300,52.614967346191406
3,14:55:38.580030500,55.02696228027344
4,14:55:38.688054800,57.12373352050781
5,14:55:38.793078400,59.55078887939453
6,14:55:38.910260200,61.647499084472656
7,14:55:39.009833800,64.09051513671875
8,14:55:39.129858200,66.5024185180664
9,14:55:39.235620800,68.59950256347656
10,14:55:39.361120200,22.708274841308594
11,14:55:39.470904200,25.911643981933594
12,14:55:39.587930800,28.459510803222656
13,14:55:39.680951500,30.973770141601562
14,14:55:39.798977700,32.84764099121094
15,14:55:39.888998200,36.043670654296875
16,14:55:40.006025,37.92533874511719
17,14:55:40.104047300,40.04945373535156
18,14:55:40.212070900,42.973663330078125
19,14:55:40.303091100,44.84764099121094
20,14:55:40.424118600,46.97367858886719
21,14:55:40.521140700,48.84764099121094
22,14:55:40.621282100,52.041603088378906
23,14:55:40.730306300,53.91173553466797
24,14:55:40.823327400,56.03582763671875
25,14:55:40.934352200,29.74095916748047
26,14:55:41.038375,32.492164611816406
27,14:55:41.172405900,34.574012756347656
28,14:55:41.307436800,37.238624572753906
29,14:55:41.401457200,39.14207458496094
30,14:55:41.510481600,41.22492980957031
31,14:55:41.596501100,44.18449401855469
32,14:55:41.697523800,46.265419006347656
33,14:55:41.800546900,49.22608184814453
34,14:55:41.890007300,51.14207458496094
35,14:55:41.990487500,53.23859405517578
36,14:55:42.076507100,56.18445587158203
37,14:55:42.198534300,58.26727294921875
38,14:55:42.277552400,60.18446350097656
39,14:55:42.372573400,62.265380859375
40,14:55:42.462593400,64.18450164794922
41,14:55:42.542611500,66.2654037475586
42,14:55:42.652636200,69.22494506835938
43,14:55:42.731654,71.14207458496094
44,14:55:42.827675500,73.22589874267578
45,14:55:42.919696200,75.14207458496094
46,14:55:43.000714300,78.26537322998047
47,14:55:43.107738600,80.18447875976562
48,14:55:43.184755800,82.26544952392578
49,14:55:43.274775400,84.18446350097656
50,14:55:43.376799,86.28099060058594
51,14:55:43.452816,88.19033813476562
52,14:55:43.551838300,91.14207458496094
53,14:55:43.649860200,37.131011962890625
54,14:55:43.743881600,39.732948303222656
55,14:55:43.831901500,40.877540588378906
56,14:55:43.905917800,43.73283386230469
57,14:55:44.006940500,46.02217102050781
58,14:55:44.085958100,47.732948303222656
59,14:55:44.168976900,50.02214050292969
60,14:55:44.264998500,51.732887268066406
61,14:55:44.340015200,54.02992248535156
62,14:55:44.435036900,56.87751770019531
63,14:55:44.527248700,58.58628845214844
64,14:55:44.604266,60.984703063964844
65,14:55:44.714893200,63.73283386230469
66,14:55:44.795911400,66.02204895019531
67,14:55:44.879930100,67.73292541503906
68,14:55:44.973951500,70.02230072021484
69,14:55:45.050968700,71.73870849609375
70,14:55:45.159993200,74.0281753540039
71,14:55:45.234009800,75.73284149169922
72,14:55:45.310026800,78.02202606201172
73,14:55:45.409049300,80.89119720458984
74,14:55:45.489067700,82.58628845214844
75,14:55:45.588089400,84.87744140625
76,14:55:45.670107700,86.58628845214844
77,14:55:45.778132300,42.36167907714844
78,14:55:45.869152800,45.05628967285156
79,14:55:45.961172900,47.283042907714844
80,14:55:46.066196900,49.05610656738281
81,14:55:46.141213700,51.298744201660156
82,14:55:46.237235200,54.14280700683594
83,14:55:46.323254600,55.223663330078125
84,14:55:46.422276700,58.137176513671875
85,14:55:46.521643800,59.97331237792969
86,14:55:46.595659600,62.324005126953125
87,14:55:46.705915,63.97331237792969
88,14:55:46.816733600,66.13700103759766
89,14:55:46.927272900,69.05621337890625
90,14:55:47.004290400,71.21793365478516
91,14:55:47.109314200,73.05706787109375
92,14:55:47.197333900,75.21878051757812
93,14:55:47.296356300,77.06197357177734
94,14:55:47.387376600,79.24706268310547
95,14:55:47.461393100,82.13699340820312
96,14:55:47.570417500,83.97331237792969
97,14:55:47.649435500,86.13720703125
98,14:55:47.746457200,87.97331237792969
99,14:55:47.836477300,90.13706970214844
100,14:55:47.908493400,91.97331237792969
101,14:55:48.018518200,48.83208465576172
102,14:55:48.091534600,50.63044738769531
103,14:55:48.173553100,52.67066955566406
104,14:55:48.264573600,54.63031005859375
105,14:55:48.338590400,56.670494079589844
106,14:55:48.439613,58.63020324707031
107,14:55:48.513629300,61.61597442626953
108,14:55:48.593647800,63.69743347167969
109,14:55:48.687668700,65.61597442626953
110,14:55:48.760684900,67.64275360107422
111,14:55:48.847704400,69.61597442626953
112,14:55:48.933763200,71.65035247802734
113,14:55:49.006779200,73.61792755126953
114,14:55:49.104801400,76.656982421875
115,14:55:49.178818,78.63044738769531
116,14:55:49.254835300,80.65522766113281
117,14:55:49.349856400,82.63021087646484
118,14:55:49.421872700,84.66259002685547
119,14:55:49.512784,86.6360855102539
120,14:55:49.596802600,88.66073608398438
121,14:55:49.669819100,91.6507797241211
122,14:55:49.769543600,93.61597442626953
123,14:55:49.863565300,53.30384063720703
124,14:55:49.954585900,55.186424255371094
125,14:55:50.039604700,57.224464416503906
126,14:55:50.109621100,59.339935302734375
127,14:55:50.205642300,62.165618896484375
128,14:55:50.283659800,64.28408813476562
129,14:55:50.380681600,66.76016235351562
130,14:55:50.479703700,69.22628784179688
131,14:55:50.552719900,71.11093139648438
132,14:55:50.645741300,73.22441864013672
133,14:55:50.724758800,75.10688018798828
134,14:55:50.825781600,77.2244644165039
135,14:55:50.929454800,79.10700225830078
136,14:55:51.011472700,81.22453308105469
137,14:55:51.107899400,83.33993530273438
138,14:55:51.178883800,86.16564178466797
139,14:55:51.266903700,88.29683685302734
140,14:55:51.349922,90.1949462890625
141,14:55:51.424939,92.28323364257812
142,14:55:51.541965400,94.16570281982422
143,14:55:51.626984200,96.28313446044922
144,14:55:51.713003900,99.11475372314453
145,14:55:51.799023400,58.09949493408203
146,14:55:51.879041100,59.984886169433594
147,14:55:51.977063,62.06541442871094
148,14:55:52.050079500,63.95094299316406
149,14:55:52.126096900,66.06327819824219
150,14:55:52.218117400,68.19318389892578
151,14:55:52.294134200,71.02910614013672
152,14:55:52.379153500,73.12065887451172
153,14:55:52.462172100,75.00615692138672
154,14:55:52.532188,77.12059783935547
155,14:55:52.625208700,79.00601959228516
156,14:55:52.703226300,81.12090301513672
157,14:55:52.774242200,83.0063247680664
158,14:55:52.874264500,85.12641906738281
159,14:55:52.944280400,87.95450592041016
160,14:55:53.034300700,90.06330108642578
161,14:55:53.123746200,91.94873046875
162,14:55:53.201763700,94.06324768066406
163,14:55:53.294401,95.94867706298828
164,14:55:53.381610400,62.69232940673828
165,14:55:53.457628500,64.26911163330078
166,14:55:53.549647800,66.69985961914062
167,14:55:53.626665800,69.09374237060547
168,14:55:53.742693800,70.67833709716797
169,14:55:53.834712300,73.09375
170,14:55:53.940736,75.45896911621094
171,14:55:54.035757200,77.26206970214844
172,14:55:54.150783400,79.78719329833984
173,14:55:54.239802900,81.88213348388672
174,14:55:54.337825500,84.24732971191406
175,14:55:54.416843,85.88212585449219
176,14:55:54.487859300,88.25526428222656
177,14:55:54.577879600,90.67047119140625
178,14:55:54.646894900,92.2474365234375
179,14:55:54.732914100,94.69989013671875
180,14:55:54.847940300,97.0937728881836
181,14:55:54.946962200,98.6861343383789
182,14:55:55.043984100,65.16949462890625
183,14:55:55.161010400,67.53691864013672
184,14:55:55.252030900,69.1567153930664
185,14:55:55.329047900,71.52406311035156
186,14:55:55.428070300,73.94603729248047
187,14:55:55.510089400,75.52454376220703
188,14:55:55.597108500,77.95177459716797
189,14:55:55.693130200,80.32705688476562
190,14:55:55.765146,81.94580078125
191,14:55:55.860773100,84.32098388671875
192,14:55:55.935789900,85.96157836914062
193,14:55:56.017808400,89.15673828125
194,14:55:56.115830600,91.5240478515625
195,14:55:56.182845400,93.15670013427734
196,14:55:56.262863600,95.52404022216797
197,14:55:56.343881900,97.15668487548828
198,14:55:56.420898900,99.52404022216797
199,14:55:56.512919300,69.28414154052734
200,14:55:56.597938800,71.41218566894531
201,14:55:56.679957100,73.27056121826172
202,14:55:56.768977300,75.41423034667969
203,14:55:56.836992500,77.99540710449219
204,14:55:56.913010,79.85003662109375
205,14:55:57.004030100,81.97998046875
206,14:55:57.072045200,83.85003662109375
207,14:55:57.157064200,85.97979736328125
208,14:55:57.237082200,88.5615005493164
209,14:55:57.305097500,90.69725036621094
210,14:55:57.399118800,92.56149291992188
211,14:55:57.465133600,94.69063568115234
212,14:55:57.557154200,96.561279296875
213,14:55:57.644174600,98.6971206665039
214,14:55:57.716190500,71.55213928222656
215,14:55:57.834847100,73.45211029052734
216,14:55:57.904862200,75.55365753173828
217,14:55:57.980879400,78.08909606933594
218,14:55:58.072890300,80.18128204345703
219,14:55:58.142905800,82.08345031738281
220,14:55:58.228925400,84.18109893798828
221,14:55:58.312943700,86.0810775756836
222,14:55:58.387960900,88.18133544921875
223,14:55:58.485983300,90.27923583984375
224,14:55:58.577004300,92.83982849121094
225,14:55:58.681026900,94.91451263427734
226,14:55:58.763045400,97.45548248291016
227,14:55:58.834061900,75.24935913085938
228,14:55:58.948707200,77.49169921875
229,14:55:59.021723600,79.79950714111328
230,14:55:59.091739500,81.47344970703125
231,14:55:59.189761100,83.7994155883789
232,14:55:59.266778300,86.02706146240234
233,14:55:59.349796500,87.80030822753906
234,14:55:59.432815600,90.01918029785156
235,14:55:59.501831100,92.35267639160156
236,14:55:59.606855600,94.13912963867188
237,14:55:59.685872800,78.40908813476562
238,14:55:59.764889700,80.50425720214844
239,14:55:59.851909800,82.40760803222656
240,14:55:59.920925400,84.50428771972656
241,14:56:00.022965600,86.88228607177734
242,14:56:00.094022900,88.97987365722656
243,14:56:00.163039600,90.88229370117188
244,14:56:00.252058500,92.98004913330078
245,14:56:00.320073900,95.35807800292969
246,14:56:00.396090900,97.45552062988281
247,14:56:00.493112600,99.83789825439453
248,14:56:00.560127800,101.9311294555664
249,14:56:00.657149700,104.0267105102539
250,14:56:00.731166100,106.41458892822266
251,14:56:00.816185200,108.5042495727539
252,14:56:00.919208300,110.40682983398438
253,14:56:00.987223600,112.50428009033203
254,14:56:01.068242200,114.88227081298828
255,14:56:01.154261300,80.5390396118164
256,14:56:01.227277500,82.87781524658203
257,14:56:01.317297500,85.24852752685547
258,14:56:01.392314900,87.394775390625
259,14:56:01.463330800,89.24955749511719
260,14:56:01.554350900,91.3877182006836
261,14:56:01.621366200,93.96068572998047
262,14:56:01.699383700,95.82241821289062
263,14:56:01.782402500,97.9686279296875
264,14:56:01.850418,99.82241821289062
265,14:56:01.941648600,101.96066284179688
266,14:56:02.024376800,104.53644561767578
267,14:56:02.119400100,106.67278289794922
268,14:56:02.210420600,108.53646850585938
269,14:56:02.283437500,110.68052673339844
270,14:56:02.393462,112.53646850585938
271,14:56:02.462477300,114.67281341552734
272,14:56:02.545495800,117.24961853027344
273,14:56:02.635516100,119.38587951660156
274,14:56:02.735538100,85.73999786376953
275,14:56:02.818557100,88.12532806396484
276,14:56:02.885572300,89.73153686523438
277,14:56:02.960589100,92.10888671875
278,14:56:03.050609200,93.74927520751953
279,14:56:03.121625200,96.12666320800781
280,14:56:03.200643500,98.53169250488281
281,14:56:03.282661400,100.12432098388672
282,14:56:03.347676100,102.53010559082031
283,14:56:03.426693700,104.93911743164062
284,14:56:03.507711900,106.52408599853516
285,14:56:03.573726800,108.93932342529297
286,14:56:03.654745100,111.3165283203125
287,14:56:03.734763,112.93932342529297
288,14:56:03.799777500,115.32685089111328
289,14:56:03.877495700,89.31543731689453
290,14:56:03.964745,91.2395248413086
291,14:56:04.031760300,93.30693054199219
292,14:56:04.117779,95.23126983642578
293,14:56:04.195797,97.94239044189453
294,14:56:04.267813500,99.84896087646484
295,14:56:04.356833300,101.95105743408203
296,14:56:04.422847800,103.8578109741211
297,14:56:04.495864500,105.9659423828125
298,14:56:04.583884200,108.0339126586914
299,14:56:04.652899700,110.59170532226562
300,14:56:04.742919900,112.67137145996094
301,14:56:04.814936400,114.57817840576172
302,14:56:04.880331300,116.67137145996094
303,14:56:04.967351400,118.57794189453125
304,14:56:05.036366200,120.6716079711914
305,14:56:05.099381,123.2220230102539
306,14:56:05.184399600,125.32273864746094
