Total Objects, Sample Time,CPU Usage
2001,00:01:35.452302200,7.613891636657781
2002,00:01:35.510679500,7.613891636657781
2003,00:01:35.562791900,7.613891636657781
2004,00:01:35.617337100,7.613891636657781
2005,00:01:35.664667400,7.613891636657781
2006,00:01:35.716592800,7.613891636657781
2007,00:01:35.771081600,7.613891636657781
2008,00:01:35.821656900,7.613891636657781
2009,00:01:35.869651800,6.4523292562466565
2010,00:01:35.924124200,6.4523292562466565
2011,00:01:35.979068400,6.4523292562466565
2012,00:01:36.029641300,6.4523292562466565
2013,00:01:36.079062,6.4523292562466565
2014,00:01:36.129636500,6.4523292562466565
2015,00:01:36.184056100,6.4523292562466565
2016,00:01:36.234641600,6.4523292562466565
2017,00:01:36.284624900,6.4523292562466565
2018,00:01:36.333776400,6.4523292562466565
2019,00:01:36.385557100,6.043080102815514
2020,00:01:36.440612900,6.043080102815514
2021,00:01:36.491613100,6.043080102815514
2022,00:01:36.548614400,6.043080102815514
2023,00:01:36.603416600,6.043080102815514
2024,00:01:36.655599,6.043080102815514
2025,00:01:36.705601,6.043080102815514
2026,00:01:36.765597100,6.043080102815514
2027,00:01:36.827010900,6.043080102815514
2028,00:01:36.879007400,6.043080102815514
2029,00:01:36.932583400,5.9739259944806165
2030,00:01:36.989576900,5.9739259944806165
2031,00:01:37.044993200,5.9739259944806165
2032,00:01:37.094290400,5.9739259944806165
2033,00:01:37.142574400,5.9739259944806165
2034,00:01:37.197037400,5.9739259944806165
2035,00:01:37.250561600,5.9739259944806165
2036,00:01:37.300555200,5.9739259944806165
2037,00:01:37.349551200,5.9739259944806165
2038,00:01:37.402382900,5.55332258369404
2039,00:01:37.455544400,5.55332258369404
2040,00:01:37.503542800,5.55332258369404
2041,00:01:37.550799400,5.55332258369404
2042,00:01:37.603535800,5.55332258369404
2043,00:01:37.657532400,5.55332258369404
2044,00:01:37.706527900,5.55332258369404
2045,00:01:37.755522500,5.55332258369404
2046,00:01:37.808701900,5.55332258369404
2047,00:01:37.884933500,5.55332258369404
2048,00:01:37.934578400,5.924825979222212
2049,00:01:37.987509300,5.924825979222212
2050,00:01:38.042509300,5.924825979222212
2051,00:01:38.092129400,5.924825979222212
2052,00:01:38.139500400,5.924825979222212
2053,00:01:38.188496200,5.924825979222212
2054,00:01:38.244492200,5.924825979222212
2055,00:01:38.295485900,5.924825979222212
2056,00:01:38.342485,5.924825979222212
2057,00:01:38.424015900,10.589864403261263
2058,00:01:38.487476900,10.589864403261263
2059,00:01:38.557474600,10.589864403261263
2060,00:01:38.615466500,10.589864403261263
2061,00:01:38.674775500,10.589864403261263
2062,00:01:38.726454900,10.589864403261263
2063,00:01:38.774453400,10.589864403261263
2064,00:01:38.830871900,10.589864403261263
2065,00:01:38.885445600,10.589864403261263
2066,00:01:38.937441700,9.484650926690502
2067,00:01:38.987436500,9.484650926690502
2068,00:01:39.039440800,9.484650926690502
2069,00:01:39.092377100,9.484650926690502
2070,00:01:39.142480200,9.484650926690502
2071,00:01:39.191427,9.484650926690502
2072,00:01:39.241770100,9.484650926690502
2073,00:01:39.297418500,9.484650926690502
2074,00:01:39.350522200,9.484650926690502
2075,00:01:39.400409200,9.484650926690502
2076,00:01:39.453464900,6.020469596628537
2077,00:01:39.509407600,6.020469596628537
2078,00:01:39.560398300,6.020469596628537
2079,00:01:39.608815700,6.020469596628537
2080,00:01:39.661537700,6.020469596628537
2081,00:01:39.715388300,6.020469596628537
2082,00:01:39.764387700,6.020469596628537
2083,00:01:39.814382900,6.020469596628537
2084,00:01:39.866628800,6.020469596628537
2085,00:01:39.921863100,6.020469596628537
2086,00:01:39.974371500,6.046104789733888
2087,00:01:40.024369200,6.046104789733888
2088,00:01:40.075362800,6.046104789733888
2089,00:01:40.132361800,6.046104789733888
2090,00:01:40.184357400,6.046104789733888
2091,00:01:40.232353500,6.046104789733888
2092,00:01:40.283378700,6.046104789733888
2093,00:01:40.338475400,6.046104789733888
2094,00:01:40.390345400,6.046104789733888
2095,00:01:40.448347900,6.046104789733888
2096,00:01:40.521387300,9.765242049331398
2097,00:01:40.584333300,9.765242049331398
2098,00:01:40.635579500,9.765242049331398
2099,00:01:40.684323100,9.765242049331398
2100,00:01:40.741329300,9.765242049331398
2101,00:01:40.798327,9.765242049331398
2102,00:01:40.850311700,9.765242049331398
2103,00:01:40.900313,9.765242049331398
2104,00:01:40.954307400,9.765242049331398
2105,00:01:41.007299100,6.7693782651457814
2106,00:01:41.056298,6.7693782651457814
2107,00:01:41.122731400,6.7693782651457814
2108,00:01:41.175294,6.7693782651457814
2109,00:01:41.227285900,6.7693782651457814
2110,00:01:41.289282700,6.7693782651457814
2111,00:01:41.345282800,6.7693782651457814
2112,00:01:41.401271200,6.7693782651457814
2113,00:01:41.460273900,6.7693782651457814
2114,00:01:41.515689500,11.166762182481786
2115,00:01:41.586266100,11.166762182481786
2116,00:01:41.642528,11.166762182481786
2117,00:01:41.689251100,11.166762182481786
2118,00:01:41.739808100,11.166762182481786
2119,00:01:41.797673500,11.166762182481786
2120,00:01:41.849243100,11.166762182481786
2121,00:01:41.901313900,11.166762182481786
2122,00:01:41.958661400,11.166762182481786
