Total Objects, Sample Time,CPU Usage
1001,01:49:31.250834800,11.918655065374884
1002,01:49:31.360835100,12.08518770532656
1003,01:49:31.475844100,12.08518770532656
1004,01:49:31.579833100,12.08518770532656
1005,01:49:31.692837200,12.08518770532656
1006,01:49:31.799833600,12.08518770532656
1007,01:49:31.912838600,12.207074165495113
1008,01:49:32.013833800,12.207074165495113
1009,01:49:32.124837500,12.207074165495113
1010,01:49:32.229833600,12.207074165495113
1011,01:49:32.343832200,12.207074165495113
1012,01:49:32.453832700,11.062617748977441
1013,01:49:32.571836300,11.062617748977441
1014,01:49:32.676833500,11.062617748977441
1015,01:49:32.794832300,11.062617748977441
1016,01:49:32.897025700,11.797871090450402
1017,01:49:33.013031600,11.797871090450402
1018,01:49:33.117030100,11.797871090450402
1019,01:49:33.225033300,11.797871090450402
1020,01:49:33.331024200,11.797871090450402
1021,01:49:33.454026800,14.383548369904892
1022,01:49:33.561086300,14.383548369904892
1023,01:49:33.678091500,14.383548369904892
1024,01:49:33.778124100,14.383548369904892
1025,01:49:33.896142100,14.383548369904892
1026,01:49:34.006122800,11.925437205608658
1027,01:49:34.120123900,11.925437205608658
1028,01:49:34.219123800,11.925437205608658
1029,01:49:34.328135300,11.925437205608658
1030,01:49:34.431123900,11.925437205608658
1031,01:49:34.545168800,11.013635056418005
1032,01:49:34.652166500,11.013635056418005
1033,01:49:34.769177800,11.013635056418005
1034,01:49:34.895171300,11.013635056418005
1035,01:49:35.055169300,24.072586071888708
1036,01:49:35.213256600,24.072586071888708
1037,01:49:35.378257900,24.072586071888708
1038,01:49:35.549279200,40.802957435660495
1039,01:49:35.723299400,40.802957435660495
1040,01:49:35.854308100,40.802957435660495
1041,01:49:35.967309100,40.802957435660495
1042,01:49:36.108304800,19.79173916169112
1043,01:49:36.217312500,19.79173916169112
1044,01:49:36.350741900,19.79173916169112
1045,01:49:36.469740400,19.79173916169112
1046,01:49:36.593740400,14.982680500786866
1047,01:49:36.711755300,14.982680500786866
1048,01:49:36.822740400,14.982680500786866
1049,01:49:36.930747400,14.982680500786866
1050,01:49:37.044740300,14.982680500786866
1051,01:49:37.152744600,12.230069179556793
1052,01:49:37.267741200,12.230069179556793
1053,01:49:37.376741200,12.230069179556793
1054,01:49:37.493739900,12.230069179556793
1055,01:49:37.595750500,12.272860736537782
1056,01:49:37.713898700,12.272860736537782
1057,01:49:37.828908600,12.272860736537782
1058,01:49:37.944467600,12.272860736537782
1059,01:49:38.057473,12.272860736537782
1060,01:49:38.167469100,11.960378805290201
1061,01:49:38.274483500,11.960378805290201
1062,01:49:38.384467500,11.960378805290201
1063,01:49:38.492474800,11.960378805290201
1064,01:49:38.605467800,11.960378805290201
1065,01:49:38.718516700,12.158638917215816
1066,01:49:38.829505700,12.158638917215816
1067,01:49:38.942511200,12.158638917215816
1068,01:49:39.057506500,12.158638917215816
1069,01:49:39.173513800,14.158356868055987
1070,01:49:39.290556300,14.158356868055987
1071,01:49:39.399568800,14.158356868055987
1072,01:49:39.510557,14.158356868055987
1073,01:49:39.619560500,14.158356868055987
1074,01:49:39.734682700,10.994332662629503
1075,01:49:39.846691600,10.994332662629503
1076,01:49:39.964684500,10.994332662629503
1077,01:49:40.076690,10.994332662629503
1078,01:49:40.191755900,10.994332662629503
1079,01:49:40.310769200,14.156533357171677
1080,01:49:40.423756100,14.156533357171677
1081,01:49:40.533759900,14.156533357171677
1082,01:49:40.652756100,14.156533357171677
1083,01:49:40.766770,12.635610863249685
1084,01:49:40.880758900,12.635610863249685
1085,01:49:40.992763900,12.635610863249685
1086,01:49:41.104755400,12.635610863249685
1087,01:49:41.214607100,12.635610863249685
1088,01:49:41.329596,12.116404331973195
1089,01:49:41.478110400,12.116404331973195
1090,01:49:41.670112100,12.116404331973195
1091,01:49:41.852221900,27.38543363112999
1092,01:49:42.049222800,27.38543363112999
1093,01:49:42.270223200,27.38543363112999
1094,01:49:42.465235800,10.988746978619204
1095,01:49:42.621219900,10.988746978619204
1096,01:49:42.740297900,10.988746978619204
1097,01:49:42.856292700,10.988746978619204
1098,01:49:42.971292900,11.65860109098391
1099,01:49:43.086295600,11.65860109098391
1100,01:49:43.194296100,11.65860109098391
1101,01:49:43.310292800,11.65860109098391
1102,01:49:43.422387900,15.078317575858913
1103,01:49:43.535387600,15.078317575858913
1104,01:49:43.651393700,15.078317575858913
1105,01:49:43.769380700,15.078317575858913
1106,01:49:43.876386600,15.078317575858913
1107,01:49:43.991381700,11.973303938393233
1108,01:49:44.099384900,11.973303938393233
1109,01:49:44.210381200,11.973303938393233
1110,01:49:44.320392200,11.973303938393233
1111,01:49:44.440395100,11.973303938393233
1112,01:49:44.562383900,16.3666644941435
1113,01:49:44.678232200,16.3666644941435
1114,01:49:44.791688800,16.3666644941435
1115,01:49:44.902684900,16.3666644941435
1116,01:49:45.014706,12.131071899983832
1117,01:49:45.123685700,12.131071899983832
1118,01:49:45.232746200,12.131071899983832
1119,01:49:45.348737400,12.131071899983832
1120,01:49:45.458740900,12.131071899983832
1121,01:49:45.573736800,11.398588719757203
1122,01:49:45.678740400,11.398588719757203
1123,01:49:45.792738200,11.398588719757203
1124,01:49:45.902802900,11.398588719757203
1125,01:49:46.015795700,11.398588719757203
1126,01:49:46.130801,11.620003212698487
1127,01:49:46.244797,11.620003212698487
1128,01:49:46.369804900,11.620003212698487
1129,01:49:46.491795800,11.620003212698487
1130,01:49:46.608797200,15.199451827513993
1131,01:49:46.718803200,15.199451827513993
1132,01:49:46.833803100,15.199451827513993
