Total Objects, Sample Time,CPU Usage
3001,14:59:16.470877900,6.15019585175686
3002,14:59:16.536892900,6.15019585175686
3003,14:59:16.583903300,6.15019585175686
3004,14:59:16.628913800,6.15019585175686
3005,14:59:16.683925700,6.392719595884657
3006,14:59:16.741938900,6.392719595884657
3007,14:59:16.788949700,6.392719595884657
3008,14:59:16.844962,6.392719595884657
3009,14:59:16.899974700,6.392719595884657
3010,14:59:16.960988200,6.392719595884657
3011,14:59:17.004423900,6.392719595884657
3012,14:59:17.046432900,6.392719595884657
3013,14:59:17.091443800,6.392719595884657
3014,14:59:17.145076500,6.392719595884657
3015,14:59:17.198921200,8.32735136786103
3016,14:59:17.242931,8.32735136786103
3017,14:59:17.285941100,8.32735136786103
3018,14:59:17.341953700,8.32735136786103
3019,14:59:17.399966400,8.32735136786103
3020,14:59:17.444976400,8.32735136786103
3021,14:59:17.487986,8.32735136786103
3022,14:59:17.531996500,8.32735136786103
3023,14:59:17.589008800,8.32735136786103
3024,14:59:17.641020400,8.32735136786103
3025,14:59:17.685030400,6.280570620398694
3026,14:59:17.728039900,6.280570620398694
3027,14:59:17.787053900,6.280570620398694
3028,14:59:17.844066200,6.280570620398694
3029,14:59:17.887075900,6.280570620398694
3030,14:59:17.929085100,6.280570620398694
3031,14:59:17.975095900,6.280570620398694
3032,14:59:18.033111700,6.280570620398694
3033,14:59:18.087123100,6.280570620398694
3034,14:59:18.132133400,6.280570620398694
3035,14:59:18.183145300,6.078369930955553
3036,14:59:18.252161100,6.078369930955553
3037,14:59:18.301172300,6.078369930955553
3038,14:59:18.344181600,6.078369930955553
3039,14:59:18.390191100,6.078369930955553
3040,14:59:18.449204600,6.078369930955553
3041,14:59:18.506217500,6.078369930955553
3042,14:59:18.555228300,6.078369930955553
3043,14:59:18.616242800,6.078369930955553
3044,14:59:18.674255900,6.078369930955553
3045,14:59:18.724266800,6.310957014073059
3046,14:59:18.768276700,6.310957014073059
3047,14:59:18.812287,6.310957014073059
3048,14:59:18.870299800,6.310957014073059
3049,14:59:18.926311700,6.310957014073059
3050,14:59:18.970322200,6.310957014073059
3051,14:59:19.013331900,6.310957014073059
3052,14:59:19.058344,6.310957014073059
3053,14:59:19.113046300,6.310957014073059
3054,14:59:19.166190400,6.310957014073059
3055,14:59:19.209588100,6.310957014073059
3056,14:59:19.250597200,6.213945663785314
3057,14:59:19.310610800,6.213945663785314
3058,14:59:19.367623600,6.213945663785314
3059,14:59:19.412633600,6.213945663785314
3060,14:59:19.454643,6.213945663785314
3061,14:59:19.501665400,6.213945663785314
3062,14:59:19.558801900,6.213945663785314
3063,14:59:19.611813300,6.213945663785314
3064,14:59:19.654823,6.213945663785314
3065,14:59:19.696832500,6.213945663785314
3066,14:59:19.753845700,5.844793409402223
3067,14:59:19.816859300,5.844793409402223
3068,14:59:19.860869300,5.844793409402223
