Total Objects, Sample Time,CPU Usage
2050,01:51:35.117040500,12.230771368331734
2051,01:51:35.251045900,12.230771368331734
2052,01:51:35.399038600,11.949923510929592
2053,01:51:35.550131500,11.949923510929592
2054,01:51:35.682144500,11.949923510929592
2055,01:51:35.813125900,11.949923510929592
2056,01:51:35.933133900,12.79986379891672
2057,01:51:36.059127200,12.79986379891672
2058,01:51:36.182224100,12.79986379891672
2059,01:51:36.302223,12.79986379891672
2060,01:51:36.441224,12.105447992671177
2061,01:51:36.567291,12.105447992671177
2062,01:51:36.694290200,12.105447992671177
2063,01:51:36.822292500,12.105447992671177
2064,01:51:36.945307400,11.106000546666452
2065,01:51:37.077294500,11.106000546666452
2066,01:51:37.255354500,11.106000546666452
2067,01:51:37.381349500,11.106000546666452
2068,01:51:37.511348900,11.755277819412528
2069,01:51:37.636349900,11.755277819412528
2070,01:51:37.761347900,11.755277819412528
2071,01:51:37.892470800,11.755277819412528
2072,01:51:38.009474400,11.609366548381153
2073,01:51:38.149469800,11.609366548381153
2074,01:51:38.267498700,11.609366548381153
2075,01:51:38.393498800,11.609366548381153
2076,01:51:38.522505200,11.966606207975133
2077,01:51:38.644500200,11.966606207975133
2078,01:51:38.768503,11.966606207975133
2079,01:51:38.881499500,11.966606207975133
2080,01:51:38.999508500,11.966606207975133
2081,01:51:39.124499,12.323719131488568
2082,01:51:39.255927100,12.323719131488568
2083,01:51:39.375920,12.323719131488568
2084,01:51:39.506918400,12.323719131488568
2085,01:51:39.631932400,12.037595257211981
2086,01:51:39.763919500,12.037595257211981
2087,01:51:39.893932700,12.037595257211981
2088,01:51:40.009927200,12.037595257211981
2089,01:51:40.144925300,10.639705288675268
2090,01:51:40.266128400,10.639705288675268
2091,01:51:40.389127700,10.639705288675268
2092,01:51:40.515132200,10.639705288675268
2093,01:51:40.636128500,11.29180748740493
2094,01:51:40.770135100,11.29180748740493
2095,01:51:40.896150900,11.29180748740493
2096,01:51:41.075156400,11.29180748740493
2097,01:51:41.283152900,38.49110664976692
2098,01:51:41.497150800,38.49110664976692
2099,01:51:41.704139,48.741738971554874
2100,01:51:41.937143,48.741738971554874
2101,01:51:42.162143700,48.741738971554874
2102,01:51:42.366280900,45.74661619644084
2103,01:51:42.573281700,45.74661619644084
2104,01:51:42.758286900,29.297235581361004
2105,01:51:42.937267,29.297235581361004
2106,01:51:43.087266,29.297235581361004
2107,01:51:43.204277100,29.297235581361004
2108,01:51:43.338415200,12.421891148458492
2109,01:51:43.459425700,12.421891148458492
2110,01:51:43.578416300,12.421891148458492
2111,01:51:43.700429,12.421891148458492
2112,01:51:43.821414,12.996096192523451
2113,01:51:43.949420200,12.996096192523451
2114,01:51:44.066414300,12.996096192523451
2115,01:51:44.188425800,12.996096192523451
2116,01:51:44.305420600,12.996096192523451
2117,01:51:44.435639500,12.3609316659311
2118,01:51:44.616626900,12.3609316659311
2119,01:51:44.756626500,12.3609316659311
2120,01:51:44.885633700,17.62249513854101
2121,01:51:45.005630400,17.62249513854101
2122,01:51:45.136625400,17.62249513854101
2123,01:51:45.255629,17.62249513854101
2124,01:51:45.382625700,17.62249513854101
2125,01:51:45.522629100,12.451666472980403
2126,01:51:45.646631200,12.451666472980403
2127,01:51:45.777632200,12.451666472980403
2128,01:51:45.908630900,12.451666472980403
2129,01:51:46.060628900,18.017798194387147
2130,01:51:46.230626800,18.017798194387147
2131,01:51:46.359636700,18.017798194387147
2132,01:51:46.495340800,17.353958262227376
2133,01:51:46.618344,17.353958262227376
2134,01:51:46.747333600,17.353958262227376
2135,01:51:46.873342500,17.353958262227376
2136,01:51:46.988342100,12.037063544462994
2137,01:51:47.127340900,12.037063544462994
2138,01:51:47.242340300,12.037063544462994
2139,01:51:47.370479200,12.037063544462994
2140,01:51:47.484480400,12.037063544462994
2141,01:51:47.620484300,11.932849179987333
2142,01:51:47.732494100,11.932849179987333
2143,01:51:47.864474200,11.932849179987333
2144,01:51:47.990878900,11.932849179987333
2145,01:51:48.118872600,12.027888461252704
2146,01:51:48.305895,12.027888461252704
2147,01:51:48.513999400,48.43902631747422
2148,01:51:48.768010200,48.43902631747422
2149,01:51:49.002001900,48.43902631747422
2150,01:51:49.203999500,39.27943781250576
2151,01:51:49.364007100,39.27943781250576
2152,01:51:49.506226800,39.27943781250576
2153,01:51:49.634230300,14.85060677869667
2154,01:51:49.765219500,14.85060677869667
2155,01:51:49.894219900,14.85060677869667
2156,01:51:50.015225100,14.85060677869667
2157,01:51:50.142840600,12.070303427804198
2158,01:51:50.274852800,12.070303427804198
2159,01:51:50.411840100,12.070303427804198
2160,01:51:50.548974,12.070303427804198
2161,01:51:50.671980700,11.999423050286035
2162,01:51:50.803974200,11.999423050286035
2163,01:51:50.930982800,11.999423050286035
2164,01:51:51.052975700,11.999423050286035
2165,01:51:51.188083400,11.823718686032919
2166,01:51:51.317061300,11.823718686032919
2167,01:51:51.451116800,11.823718686032919
2168,01:51:51.571170400,11.823718686032919
2169,01:51:51.697167900,12.471920717696179
2170,01:51:51.824180400,12.471920717696179
2171,01:51:51.944167900,12.471920717696179
2172,01:51:52.080169300,12.471920717696179
2173,01:51:52.206187700,14.937904207737537
2174,01:51:52.347182400,14.937904207737537
2175,01:51:52.510210200,14.937904207737537
2176,01:51:52.639215600,14.937904207737537
2177,01:51:52.800276300,25.210933523249267
2178,01:51:53.010828100,25.210933523249267
2179,01:51:53.217823400,25.210933523249267
2180,01:51:53.438825700,45.37519063226756
2181,01:51:53.611821600,45.37519063226756
2182,01:51:53.763820200,45.37519063226756
