Total Objects, Sample Time,CPU Usage
1,01:46:39.512344600,9.529205413686439
2,01:46:44.211336700,9.529205413686439
3,01:46:44.486333800,21.615300806925116
4,01:46:44.737333400,21.615300806925116
5,01:46:45.000343400,21.78655179789536
6,01:46:45.277334,21.78655179789536
7,01:46:45.577336400,33.337535883311354
8,01:46:45.863333200,33.337535883311354
9,01:46:46.173338200,25.929695282949577
10,01:46:46.411332500,25.929695282949577
11,01:46:46.651335800,24.016822490071387
12,01:46:46.889344400,24.016822490071387
13,01:46:47.228348100,33.28734299678216
14,01:46:47.570347,33.28734299678216
15,01:46:47.865333600,32.32341238402084
16,01:46:48.145340800,32.32341238402084
17,01:46:48.429333400,22.13736404059372
18,01:46:48.679341900,22.13736404059372
19,01:46:48.911344600,24.269629313170785
20,01:46:49.189334500,24.269629313170785
21,01:46:49.469352800,32.846726713063745
22,01:46:49.766338800,32.846726713063745
23,01:46:50.054345800,31.436823019387045
24,01:46:50.329336900,31.436823019387045
25,01:46:50.575351700,27.52996116924275
26,01:46:50.863344700,27.52996116924275
27,01:46:51.150344300,25.01383779212873
28,01:46:51.439344600,25.01383779212873
29,01:46:51.773351100,24.330717294609816
30,01:46:52.268348,38.37712565416552
31,01:46:52.762342300,21.65818424911892
32,01:46:53.184473400,15.0845920224094
33,01:46:53.783477400,15.0845920224094
34,01:46:54.135467400,27.109035398907878
35,01:46:54.445472200,19.162923862649215
36,01:46:54.768476900,19.162923862649215
37,01:46:55.085465,22.909527798939795
38,01:46:55.393465400,22.909527798939795
39,01:46:55.712466,24.151545698924732
40,01:46:56.110470400,22.94123884157984
41,01:46:56.517469200,22.94123884157984
42,01:46:56.855478200,31.063383616585007
43,01:46:57.320473500,34.360818747563634
44,01:46:57.762477600,37.26587871408783
45,01:46:58.076461200,37.26587871408783
46,01:46:58.348465400,17.094202316957784
47,01:46:58.643469200,17.094202316957784
48,01:46:58.910472500,19.56398053944249
49,01:46:59.226466400,19.56398053944249
50,01:46:59.632479200,27.289111740473228
51,01:47:00.129468200,19.33132411283034
52,01:47:00.440460700,19.33132411283034
53,01:47:00.725503200,16.36859241628709
54,01:47:00.960461,16.36859241628709
55,01:47:01.218465500,13.089987507687542
56,01:47:01.460474100,13.089987507687542
57,01:47:01.678479200,18.143787457884784
58,01:47:01.903487300,18.143787457884784
59,01:47:02.123477100,18.143787457884784
60,01:47:02.348460600,16.869533731245998
61,01:47:02.580460800,16.869533731245998
62,01:47:02.806460400,16.967341430134585
63,01:47:03.050459600,16.967341430134585
64,01:47:03.277460900,19.114284056933307
65,01:47:03.534466500,19.114284056933307
66,01:47:03.769460900,19.114284056933307
67,01:47:03.994471600,18.63369263141529
68,01:47:04.198462100,18.63369263141529
69,01:47:04.375493700,18.233380447640375
70,01:47:04.603495400,18.233380447640375
71,01:47:04.780505100,18.233380447640375
72,01:47:04.940556,16.11423429185669
73,01:47:05.088558200,16.11423429185669
74,01:47:05.265670700,16.11423429185669
75,01:47:05.460655300,22.86680551255467
76,01:47:05.655118400,22.86680551255467
77,01:47:05.845121,22.86680551255467
78,01:47:06.026164300,21.681890483320203
79,01:47:06.209163200,21.681890483320203
80,01:47:06.401290300,21.681890483320203
81,01:47:06.618293800,24.789538193694572
82,01:47:06.807306300,24.789538193694572
83,01:47:06.979299500,24.789538193694572
84,01:47:07.162291300,19.261606766870578
85,01:47:07.327292400,19.261606766870578
86,01:47:07.482290900,19.261606766870578
87,01:47:07.664366400,18.675269043395947
88,01:47:07.873364500,18.675269043395947
89,01:47:08.082374900,27.340165952790553
90,01:47:08.297369100,27.340165952790553
91,01:47:08.496357200,27.340165952790553
92,01:47:08.662417100,19.385481945482166
93,01:47:08.816441100,19.385481945482166
94,01:47:08.989424900,19.385481945482166
95,01:47:09.190477600,16.810948768629334
96,01:47:09.386470300,16.810948768629334
97,01:47:09.588481200,16.810948768629334
98,01:47:09.797479,23.908327802883466
99,01:47:09.988484500,23.908327802883466
100,01:47:10.169481800,23.908327802883466
101,01:47:10.358486300,23.753860703668806
102,01:47:10.577471900,23.753860703668806
103,01:47:10.800474500,17.880876085022564
104,01:47:10.986475900,17.880876085022564
105,01:47:11.142477200,17.880876085022564
106,01:47:11.332484100,15.76345697871155
107,01:47:11.482612100,15.76345697871155
108,01:47:11.643613,15.76345697871155
109,01:47:11.814630900,15.76345697871155
110,01:47:11.975668900,14.715934286154809
111,01:47:12.120772200,14.715934286154809
112,01:47:12.289763300,14.715934286154809
113,01:47:12.467758900,17.251157210562052
114,01:47:12.660763500,17.251157210562052
115,01:47:12.862904100,17.251157210562052
116,01:47:13.061908900,26.54385210758128
117,01:47:13.232923800,26.54385210758128
118,01:47:13.410101700,26.54385210758128
119,01:47:13.576100100,17.346236815560896
120,01:47:13.727103600,17.346236815560896
121,01:47:13.879216900,17.346236815560896
122,01:47:14.089214100,17.890490296027533
123,01:47:14.249212300,17.890490296027533
124,01:47:14.402215400,17.890490296027533
125,01:47:14.578537100,15.042094619394913
126,01:47:14.742598,15.042094619394913
127,01:47:14.933603600,15.042094619394913
128,01:47:15.219609800,20.754709503530584
129,01:47:15.511619600,20.754709503530584
130,01:47:15.872616900,24.90570856038251
131,01:47:16.473615700,13.39448762135032
132,01:47:17.428625400,5.79029332643958
133,01:47:18.281749800,14.79202274023807
134,01:47:18.704748400,14.79202274023807
135,01:47:19.052756200,22.755163662418713
136,01:47:19.360750100,11.774218342612047
137,01:47:19.965750900,36.14494943501665
138,01:47:20.371748200,36.14494943501665
139,01:47:20.691757400,15.4952321156366
