Total Objects,CPU Usage
1001,5.969755784454565
1002,5.969755784454565
1003,5.969755784454565
1004,5.969755784454565
1005,5.969755784454565
1006,5.969755784454565
1007,5.969755784454565
1008,5.969755784454565
1009,6.571942567080382
1010,6.571942567080382
1011,6.571942567080382
1012,6.571942567080382
1013,6.571942567080382
1014,6.571942567080382
1015,6.571942567080382
1016,6.571942567080382
1017,6.248605311294519
1018,6.248605311294519
1019,6.248605311294519
1020,6.248605311294519
1021,6.248605311294519
1022,6.248605311294519
1023,6.248605311294519
1024,6.248605311294519
1025,6.235415363464856
1026,6.235415363464856
1027,6.235415363464856
1028,6.235415363464856
1029,6.235415363464856
1030,6.235415363464856
1031,6.235415363464856
1032,6.235415363464856
1033,6.235415363464856
1034,6.408438308277475
1035,6.408438308277475
1036,6.408438308277475
1037,6.408438308277475
1038,6.408438308277475
1039,6.408438308277475
1040,6.408438308277475
1041,6.408438308277475
1042,6.226435845992978
1043,6.226435845992978
1044,6.226435845992978
1045,6.226435845992978
1046,6.226435845992978
1047,6.226435845992978
1048,6.226435845992978
1049,6.226435845992978
1050,6.43948260911811
1051,6.43948260911811
1052,6.43948260911811
1053,6.43948260911811
1054,6.43948260911811
1055,6.43948260911811
1056,6.43948260911811
1057,6.43948260911811
1058,6.0842634468549806
1059,6.0842634468549806
1060,6.0842634468549806
1061,6.0842634468549806
1062,6.0842634468549806
1063,6.0842634468549806
1064,6.0842634468549806
1065,6.0842634468549806
1066,6.599538910558428
1067,6.599538910558428
1068,6.599538910558428
1069,6.599538910558428
1070,6.599538910558428
1071,6.599538910558428
1072,6.599538910558428
1073,6.599538910558428
1074,7.926736256224089
1075,7.926736256224089
1076,7.926736256224089
1077,7.926736256224089
1078,7.926736256224089
1079,7.926736256224089
1080,7.926736256224089
1081,7.926736256224089
1082,7.926736256224089
1083,6.396088466529934
1084,6.396088466529934
1085,6.396088466529934
1086,6.396088466529934
1087,6.396088466529934
1088,6.396088466529934
1089,6.396088466529934
1090,6.396088466529934
1091,9.007341036605588
1092,9.007341036605588
1093,9.007341036605588
1094,9.007341036605588
1095,9.007341036605588
1096,9.007341036605588
1097,9.007341036605588
1098,9.007341036605588
1099,5.9114599198928985
1100,5.9114599198928985
1101,5.9114599198928985
1102,5.9114599198928985
1103,5.9114599198928985
1104,5.9114599198928985
1105,5.9114599198928985
1106,5.9114599198928985
1107,6.043964298541528
1108,6.043964298541528
1109,6.043964298541528
1110,6.043964298541528
1111,6.043964298541528
1112,6.043964298541528
1113,6.043964298541528
1114,8.911084891203805
1115,8.911084891203805
1116,8.911084891203805
1117,8.911084891203805
1118,8.911084891203805
1119,8.911084891203805
1120,8.911084891203805
1121,8.911084891203805
1122,6.232573723868065
1123,6.232573723868065
1124,6.232573723868065
1125,6.232573723868065
1126,6.232573723868065
1127,6.232573723868065
1128,6.232573723868065
1129,6.232573723868065
